,mice_id,num_stim,condition,decision_score,duration_reward,max_instance_speed2safezone,distance_under_threat,latency_to_first_escape,latent1D,change_trial
334,idm41_C8C3,3,sucrose_high,2,0.0,113.3105832,97.65610316,2.966666667,-12.537140137331887,4
335,idm41_C8C3,4,sucrose_high,2,2.733333333,131.2951236,100.9069067,2.766666667,-25.484412875281983,4
336,idm41_C8C3,5,sucrose_high,2,6.3,132.4196374,110.7976386,6.1,-33.63296756739727,4
337,idm41_C8C3,6,sucrose_high,2,3.9,122.5170851,109.5214053,3.733333333,-27.14614793852991,4
338,idm41_C8C3,7,sucrose_high,2,0.366666667,111.0437393,93.06281165,4.333333333,-7.395637382605385,4
339,idm41_C8C3,8,sucrose_high,2,6.4,94.81965455,93.56903837,6.4,2.2445837436673184,4
340,idm41_C8C3,9,sucrose_high,0,13.8,39.71908564,-9.419786043,13.7,118.44079181684009,4
341,idm41_C8C3,10,sucrose_high,2,5.633333333,98.48854661,105.7647315,5.4,-9.843966611068952,4
348,idm41_CE93,1,sucrose_high,2,0.0,104.5064724,95.62543518,1.1,-4.42340321504665,3
349,idm41_CE93,2,sucrose_high,3,0.0,96.08289896,93.23344506,0.333333333,4.423403215046651,3
422,idm42_7363,1,water_high,3,0.0,67.54305633,100.6409201,0.366666667,-9.630886287692448,3
423,idm42_7363,2,water_high,3,0.0,69.27852593,98.01406928,0.266666667,-8.489654771907755,3
424,idm42_7363,3,water_high,3,0.0,76.10639689,97.3714414,0.366666667,-1.9808380252169275,3
425,idm42_7363,4,water_high,3,0.0,73.93261111,96.11852838,0.633333333,-4.326564076414213,3
426,idm42_7363,5,water_high,2,0.0,84.90854859,96.01000399,1.166666667,6.4062220666361505,3
427,idm42_7363,6,water_high,2,0.0,84.30479634,96.03026637,2.2,5.907319710250934,3
428,idm42_7363,7,water_high,2,0.0,75.80962489,97.15227629,3.566666667,-2.0047151500538614,3
429,idm42_7363,8,water_high,2,0.0,76.90218468,89.22081694,5.866666667,-2.3774099281867414,3
430,idm42_7363,9,water_high,2,2.566666667,90.21621855,107.4896324,2.4,14.200036656457021,3
431,idm42_7363,10,water_high,2,0.0,81.5473214,89.82997095,6.333333333,2.2964898061278602,3
412,idm42_7393,1,water_high,3,0.0,90.77074515,98.48838244,0.366666667,0.07239893980195031,5
413,idm42_7393,2,water_high,2,0.0,98.27939672,95.31255958,0.566666667,7.939011252736399,5
414,idm42_7393,3,water_high,2,0.0,87.15416355,97.99723237,0.666666667,-3.458751895484186,5
415,idm42_7393,4,water_high,3,0.0,95.55932785,95.29286837,0.333333333,5.285019818745491,5
416,idm42_7393,5,water_high,3,0.0,89.03547168,94.20719898,0.333333333,-0.996688816955357,5
417,idm42_7393,6,water_high,2,0.0,83.73158524,96.28407251,0.9,-6.5887320092779085,5
418,idm42_7393,7,water_high,3,0.0,93.6995626,96.34698859,0.433333333,3.2862604425754878,5
419,idm42_7393,8,water_high,2,0.0,92.39418927,95.35951132,0.666666667,2.11498134637687,5
420,idm42_7393,9,water_high,2,0.0,86.15862621,98.90950138,0.966666667,-4.587978150197147,5
421,idm42_7393,10,water_high,3,0.0,87.19351292,95.83139597,0.5,-3.065520928321613,5
432,idm42_F133,1,water_high,2,4.133333333,67.29626817,89.15977952,3.433333333,-20.077343944437537,3
